GABRIELE FRANCESCO,1999,11,m
GABRIELE SALVATORE,1999,11,m
GEORG,1999,11,m
GIOVANNI ALBERTO,1999,11,m
GIOVANNI ANDREA,1999,11,m
GIOVANNI LUIGI,1999,11,m
LAURA,1999,11,m
LUDOVICO MARIA,1999,11,m
LUKA,1999,11,m
MARIA,1999,11,m
MATHIEU,1999,11,m
MOUAD,1999,11,m
MUSTAFA,1999,11,m
NASSIM,1999,11,m
NELLO,1999,11,m
NIKI,1999,11,m
NOEMI,1999,11,m
PASCAL,1999,11,m
RACHID,1999,11,m
RAMI,1999,11,m
SALIM,1999,11,m
SALVATORE MARIA,1999,11,m
SIMEONE,1999,11,m
SIMONE PIETRO,1999,11,m
STEFANO PIO,1999,11,m
TAREK,1999,11,m
TITO,1999,11,m
VITALIANO,1999,11,m
YASSIR,1999,11,m
ADEM,1999,10,m
AKRAM,1999,10,m
ALESSIO GIUSEPPE,1999,10,m
ALFONSO PIO,1999,10,m
ALICE,1999,10,m
AMERICO,1999,10,m
ANGELANTONIO,1999,10,m
ANNUNZIATO,1999,10,m
ANTONINO PIO,1999,10,m
ANTONIO SALVATORE,1999,10,m
ARES,1999,10,m
BADER,1999,10,m
BALDASSARE,1999,10,m
CAMILLA,1999,10,m
CARLOS,1999,10,m
CARMELA,1999,10,m
DENIEL,1999,10,m
DOMINIQUE,1999,10,m
DOMIZIANO,1999,10,m
DONATO PIO,1999,10,m
EMANUELE MARIA,1999,10,m
ENTONI,1999,10,m
ERRICO,1999,10,m
FABIO GIUSEPPE,1999,10,m
FABIO PIO,1999,10,m
FEDERICO ALBERTO,1999,10,m
FELICIANO,1999,10,m
FILIPPO PIO,1999,10,m
GERMANO,1999,10,m
GHERARDO,1999,10,m
GIANBATTISTA,1999,10,m
GIANLORENZO,1999,10,m
GIOVAMBATTISTA,1999,10,m
GIOVAN BATTISTA,1999,10,m
GIUSEPPE GABRIELE,1999,10,m
GIUSEPPE JUNIOR,1999,10,m
GRETA,1999,10,m
JOHN MICHAEL,1999,10,m
LORENZO ANGELO,1999,10,m
LORENZO ANTONIO,1999,10,m
MAHMOUD,1999,10,m
MARCEL,1999,10,m
MARCO GIUSEPPE,1999,10,m
MARIO PIO,1999,10,m
MONIR,1999,10,m
MORAD,1999,10,m
MOUNIR,1999,10,m
NATALINO,1999,10,m
NICCOLO MARIA,1999,10,m
NICOL�,1999,10,m
PIETRO ANTONIO,1999,10,m
PIETRO FRANCESCO,1999,10,m
RICCARDO FRANCESCO,1999,10,m
